name,artist,id,energy,tempo,danceability,loudness,country
Mirame,Blessd,2btNsI4OvcVl7SAHQQDHFB,0.656,175.956,0.717,-4.449,Colombia
Si Antes Te Hubiera Conocido,KAROL G,6WatFBLVB0x077xWeoVc2k,0.668,128.027,0.924,-6.795,Colombia
SE ME OLVIDA,Maisak,2gmd7lY3QSzLh0xIY4cRvi,0.707,82.045,0.786,-4.386,N/A
LUNA,Feid,7bywjHOc0wSjGGbj04XbVi,0.86,100.019,0.774,-2.888,Colombia
UWAIE,Kapo,5QjmUqgpPQgXgg4606DqZF,0.783,103.001,0.705,-4.783,N/A
SORRY 4 THAT MUCH,Feid,63pLfjK6FvcYJYMGwtHjd6,0.675,92.99,0.819,-4.281,Colombia
Es un Secreto,Plan B,3KZCP2StVGdWkOKyRZNWA4,0.774,95.006,0.841,-4.963,United Kingdom
Die With A Smile,Lady Gaga,2plbrEY59IikOBgBGLjaoe,0.592,157.969,0.521,-7.777,United States
Doblexxó,J Balvin,2llFXBrftm6YJzBj3tpk0s,0.775,99.008,0.787,-4.607,Colombia
Ohnana,Kapo,1fTjqf10accJCDYstPwwZ6,0.581,104.977,0.775,-3.621,N/A
Hasta Aquí Llegué,Nanpa Básico,08pbRBstuvH7ArRxeb8fwT,0.657,100.016,0.641,-8.338,N/A
PERRO NEGRO,Bad Bunny,7iQXYTyuG13aoeHxGG28Nh,0.778,96.057,0.911,-2.248,Puerto Rico
Según Quién,Maluma,4bw8mcDUSRWfQo63ZTYRnU,0.762,101.987,0.909,-3.974,Colombia
Orion,Boza,5pVJ3IlnpIorU44oXizzG5,0.705,105.011,0.857,-4.775,Panama
Brickell,Feid,0rNqDh9zWWJVTLS4VfceHP,0.89,93.037,0.805,-1.502,Colombia
AMARGURA,KAROL G,505v13epFXodT9fVAJ6h8k,0.7,106.981,0.912,-3.331,Error
Feliz Cumpleaños Ferxxo,Feid,2CeKVsFFXG4QzA415QygGb,0.573,94.999,0.865,-5.501,Error
Santa,Rvssian,6a9Z1jUms915w4O7N1PxjY,0.709,99.993,0.725,-5.017,Jamaica
REAL GANGSTA LOVE,Trueno,1pymWRCuZfCd0zdiBJo0Hj,0.643,97.013,0.831,-4.659,Argentina
La Bachata,Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,0.679,124.98,0.835,-5.329,Colombia
